Age,Working Professional or Student,Dietary Habits,Degree,Have you ever had suicidal thoughts ?,Work/Study Hours,Financial Stress,Job/Study Satisfaction,Work/Academic Pressure,Depression
"[39.0, 49.5)",Working Professional,Healthy,M.Pharm,Yes,"[9.0, 12.012)",1,2.0,4.0,No
"[28.5, 39.0)",Working Professional,Unhealthy,BHM,No,"[9.0, 12.012)",2,4.0,4.0,No
"[28.5, 39.0)",Working Professional,Healthy,ME,Yes,"[0.0, 3.0)",5,3.0,5.0,No
"[18.0, 28.5)",Working Professional,Healthy,Class 12,No,"[6.0, 9.0)",5,5.0,5.0,Yes
"[49.5, 60.042)",Working Professional,Unhealthy,B.Tech,Yes,"[9.0, 12.012)",1,5.0,1.0,No
"[18.0, 28.5)",Working Professional,Healthy,MBBS,No,"[6.0, 9.0)",3,1.0,5.0,No
"[39.0, 49.5)",Working Professional,Moderate,LLB,Yes,"[9.0, 12.012)",3,2.0,1.0,No
"[18.0, 28.5)",Student,Healthy,MBBS,Yes,"[0.0, 3.0)",3,4.0,3.0,No
"[39.0, 49.5)",Working Professional,Healthy,M.Pharm,Yes,"[0.0, 3.0)",5,4.0,4.0,No
"[39.0, 49.5)",Working Professional,Moderate,B.Ed,Yes,"[9.0, 12.012)",5,4.0,3.0,No
"[39.0, 49.5)",Working Professional,Healthy,PhD,Yes,"[9.0, 12.012)",5,4.0,3.0,No
"[28.5, 39.0)",Working Professional,Unhealthy,M.Tech,Yes,"[0.0, 3.0)",4,5.0,3.0,No
"[39.0, 49.5)",Working Professional,Healthy,B.Arch,Yes,"[0.0, 3.0)",1,4.0,4.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,BE,Yes,"[0.0, 3.0)",2,2.0,2.0,No
"[28.5, 39.0)",Student,Unhealthy,M.Ed,No,"[9.0, 12.012)",1,4.0,2.0,No
"[49.5, 60.042)",Working Professional,Healthy,MBA,Yes,"[3.0, 6.0)",5,5.0,2.0,No
"[28.5, 39.0)",Student,Moderate,MSc,No,"[9.0, 12.012)",5,2.0,3.0,No
"[18.0, 28.5)",Working Professional,Healthy,PhD,Yes,"[0.0, 3.0)",1,3.0,3.0,No
"[28.5, 39.0)",Student,Moderate,BE,Yes,"[9.0, 12.012)",5,3.0,2.0,Yes
"[39.0, 49.5)",Working Professional,Unhealthy,B.Arch,No,"[9.0, 12.012)",5,2.0,5.0,No
"[39.0, 49.5)",Working Professional,Moderate,BE,No,"[9.0, 12.012)",1,2.0,1.0,No
"[18.0, 28.5)",Working Professional,Moderate,Class 12,No,"[9.0, 12.012)",5,5.0,5.0,Yes
"[28.5, 39.0)",Student,Healthy,MA,No,"[0.0, 3.0)",4,2.0,2.0,No
"[39.0, 49.5)",Working Professional,Unhealthy,Class 12,Yes,"[3.0, 6.0)",1,5.0,4.0,No
"[28.5, 39.0)",Student,Moderate,MSc,Yes,"[0.0, 3.0)",2,4.0,3.0,No
"[28.5, 39.0)",Working Professional,Healthy,MHM,No,"[3.0, 6.0)",2,4.0,2.0,No
"[49.5, 60.042)",Working Professional,Moderate,BHM,No,"[0.0, 3.0)",2,1.0,5.0,No
"[39.0, 49.5)",Working Professional,Unhealthy,M.Com,Yes,"[0.0, 3.0)",4,3.0,5.0,No
"[18.0, 28.5)",Working Professional,Moderate,B.Pharm,Yes,"[9.0, 12.012)",5,1.0,3.0,Yes
"[39.0, 49.5)",Working Professional,Moderate,LLM,No,"[0.0, 3.0)",1,3.0,3.0,No
"[39.0, 49.5)",Working Professional,Healthy,B.Com,Yes,"[9.0, 12.012)",4,5.0,3.0,No
"[39.0, 49.5)",Working Professional,Unhealthy,BA,No,"[3.0, 6.0)",4,2.0,4.0,No
"[49.5, 60.042)",Working Professional,Healthy,MHM,No,"[3.0, 6.0)",1,3.0,3.0,No
"[18.0, 28.5)",Working Professional,Unhealthy,Class 12,No,"[6.0, 9.0)",4,1.0,3.0,Yes
"[18.0, 28.5)",Student,Unhealthy,M.Tech,No,"[6.0, 9.0)",4,3.0,5.0,Yes
"[49.5, 60.042)",Working Professional,Healthy,BBA,No,"[9.0, 12.012)",2,4.0,2.0,No
"[49.5, 60.042)",Working Professional,Healthy,M.Tech,Yes,"[9.0, 12.012)",5,1.0,1.0,No
"[49.5, 60.042)",Working Professional,Healthy,MCA,No,"[6.0, 9.0)",1,2.0,2.0,No
"[49.5, 60.042)",Working Professional,Healthy,MHM,No,"[6.0, 9.0)",3,5.0,5.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,ME,Yes,"[9.0, 12.012)",2,2.0,2.0,No
"[28.5, 39.0)",Student,Moderate,B.Arch,Yes,"[3.0, 6.0)",3,5.0,3.0,Yes
"[49.5, 60.042)",Working Professional,Moderate,B.Pharm,No,"[6.0, 9.0)",3,3.0,5.0,No
"[18.0, 28.5)",Working Professional,Moderate,Class 12,Yes,"[0.0, 3.0)",4,5.0,1.0,No
"[28.5, 39.0)",Student,Unhealthy,BE,Yes,"[9.0, 12.012)",1,4.0,3.0,Yes
"[18.0, 28.5)",Student,Healthy,Class 12,No,"[0.0, 3.0)",2,2.0,3.0,No
"[18.0, 28.5)",Working Professional,Unhealthy,Class 12,No,"[9.0, 12.012)",4,4.0,5.0,Yes
"[39.0, 49.5)",Working Professional,Healthy,B.Ed,No,"[9.0, 12.012)",2,3.0,4.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,BCA,No,"[9.0, 12.012)",2,5.0,3.0,No
"[18.0, 28.5)",Working Professional,Healthy,B.Ed,Yes,"[6.0, 9.0)",1,4.0,2.0,No
"[39.0, 49.5)",Working Professional,Moderate,LLM,Yes,"[9.0, 12.012)",2,5.0,2.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,M.Com,No,"[9.0, 12.012)",5,1.0,4.0,No
"[39.0, 49.5)",Working Professional,Unhealthy,BSc,No,"[0.0, 3.0)",2,1.0,3.0,No
"[18.0, 28.5)",Working Professional,Moderate,BE,Yes,"[3.0, 6.0)",5,1.0,1.0,Yes
"[28.5, 39.0)",Working Professional,Moderate,MSc,Yes,"[0.0, 3.0)",4,4.0,4.0,No
"[28.5, 39.0)",Working Professional,Healthy,M.Pharm,No,"[0.0, 3.0)",5,4.0,2.0,No
"[28.5, 39.0)",Working Professional,Unhealthy,BE,No,"[0.0, 3.0)",5,5.0,4.0,No
"[39.0, 49.5)",Working Professional,Healthy,BHM,No,"[9.0, 12.012)",1,2.0,2.0,No
"[28.5, 39.0)",Student,Moderate,BE,Yes,"[3.0, 6.0)",3,5.0,2.0,No
"[28.5, 39.0)",Student,Moderate,M.Com,Yes,"[9.0, 12.012)",3,2.0,5.0,Yes
"[28.5, 39.0)",Working Professional,Unhealthy,Class 12,No,"[9.0, 12.012)",3,3.0,1.0,No
"[18.0, 28.5)",Working Professional,Healthy,BA,No,"[6.0, 9.0)",5,1.0,2.0,No
"[18.0, 28.5)",Student,Moderate,MCA,No,"[9.0, 12.012)",2,3.0,5.0,Yes
"[49.5, 60.042)",Working Professional,Unhealthy,B.Tech,No,"[3.0, 6.0)",5,4.0,3.0,No
"[18.0, 28.5)",Working Professional,Unhealthy,BSc,No,"[0.0, 3.0)",2,4.0,4.0,No
"[49.5, 60.042)",Working Professional,Moderate,ME,No,"[3.0, 6.0)",3,3.0,3.0,No
"[18.0, 28.5)",Student,Unhealthy,LLM,Yes,"[9.0, 12.012)",5,1.0,5.0,Yes
"[49.5, 60.042)",Working Professional,Healthy,MA,Yes,"[3.0, 6.0)",4,1.0,5.0,No
"[18.0, 28.5)",Working Professional,Unhealthy,ME,No,"[9.0, 12.012)",4,1.0,3.0,Yes
"[28.5, 39.0)",Working Professional,Moderate,B.Arch,Yes,"[0.0, 3.0)",1,4.0,2.0,No
"[39.0, 49.5)",Working Professional,Moderate,MCA,Yes,"[0.0, 3.0)",3,2.0,5.0,No
"[28.5, 39.0)",Working Professional,Healthy,LLM,Yes,"[3.0, 6.0)",4,4.0,5.0,No
"[49.5, 60.042)",Working Professional,Healthy,LLM,Yes,"[3.0, 6.0)",3,1.0,3.0,No
"[28.5, 39.0)",Working Professional,Moderate,BA,Yes,"[3.0, 6.0)",4,1.0,2.0,No
"[18.0, 28.5)",Student,Unhealthy,M.Tech,No,"[3.0, 6.0)",2,4.0,5.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,B.Ed,No,"[6.0, 9.0)",3,5.0,1.0,No
"[39.0, 49.5)",Working Professional,Healthy,BBA,No,"[9.0, 12.012)",5,3.0,5.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,LLM,Yes,"[3.0, 6.0)",4,4.0,1.0,No
"[28.5, 39.0)",Working Professional,Healthy,B.Pharm,No,"[9.0, 12.012)",4,5.0,2.0,No
"[39.0, 49.5)",Working Professional,Healthy,MSc,Yes,"[9.0, 12.012)",3,2.0,5.0,No
"[39.0, 49.5)",Working Professional,Moderate,BSc,No,"[0.0, 3.0)",4,5.0,2.0,No
"[39.0, 49.5)",Working Professional,Moderate,B.Ed,No,"[0.0, 3.0)",2,2.0,2.0,No
"[18.0, 28.5)",Student,Healthy,MSc,No,"[0.0, 3.0)",2,1.0,1.0,No
"[39.0, 49.5)",Working Professional,Healthy,BSc,No,"[3.0, 6.0)",1,1.0,4.0,No
"[39.0, 49.5)",Working Professional,Unhealthy,B.Pharm,No,"[3.0, 6.0)",3,4.0,5.0,No
"[39.0, 49.5)",Working Professional,Healthy,B.Ed,No,"[3.0, 6.0)",3,2.0,3.0,No
"[18.0, 28.5)",Student,Unhealthy,B.Ed,No,"[3.0, 6.0)",1,5.0,4.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,MHM,No,"[6.0, 9.0)",1,3.0,3.0,No
"[28.5, 39.0)",Working Professional,Healthy,Class 12,Yes,"[3.0, 6.0)",1,2.0,5.0,No
"[18.0, 28.5)",Working Professional,Moderate,BA,No,"[3.0, 6.0)",1,5.0,3.0,No
"[28.5, 39.0)",Working Professional,Moderate,MCA,No,"[3.0, 6.0)",5,5.0,3.0,No
"[49.5, 60.042)",Working Professional,Moderate,M.Pharm,No,"[9.0, 12.012)",5,4.0,1.0,No
"[49.5, 60.042)",Working Professional,Healthy,M.Tech,No,"[3.0, 6.0)",3,3.0,5.0,No
"[18.0, 28.5)",Student,Unhealthy,MSc,No,"[6.0, 9.0)",1,3.0,1.0,No
"[18.0, 28.5)",Working Professional,Moderate,BE,No,"[9.0, 12.012)",3,2.0,5.0,Yes
"[18.0, 28.5)",Student,Moderate,B.Arch,Yes,"[6.0, 9.0)",5,3.0,3.0,Yes
"[18.0, 28.5)",Working Professional,Healthy,B.Tech,Yes,"[6.0, 9.0)",5,2.0,3.0,Yes
"[49.5, 60.042)",Working Professional,Unhealthy,B.Pharm,No,"[0.0, 3.0)",1,1.0,3.0,No
"[49.5, 60.042)",Working Professional,Healthy,LLB,No,"[6.0, 9.0)",4,1.0,5.0,No
"[28.5, 39.0)",Student,Healthy,BE,No,"[6.0, 9.0)",1,1.0,1.0,No
"[39.0, 49.5)",Working Professional,Moderate,ME,Yes,"[0.0, 3.0)",2,3.0,4.0,No
"[28.5, 39.0)",Working Professional,Unhealthy,MA,Yes,"[9.0, 12.012)",5,5.0,3.0,Yes
"[18.0, 28.5)",Student,Unhealthy,MSc,No,"[6.0, 9.0)",4,3.0,1.0,No
"[28.5, 39.0)",Working Professional,Healthy,B.Ed,No,"[0.0, 3.0)",4,3.0,5.0,No
"[18.0, 28.5)",Student,Unhealthy,MCA,Yes,"[0.0, 3.0)",5,2.0,3.0,Yes
"[39.0, 49.5)",Working Professional,Unhealthy,PhD,Yes,"[3.0, 6.0)",3,1.0,2.0,No
"[18.0, 28.5)",Working Professional,Unhealthy,Class 12,Yes,"[3.0, 6.0)",2,2.0,3.0,Yes
"[39.0, 49.5)",Working Professional,Moderate,M.Tech,No,"[9.0, 12.012)",2,4.0,1.0,No
"[39.0, 49.5)",Working Professional,Unhealthy,B.Com,Yes,"[0.0, 3.0)",1,4.0,1.0,No
"[39.0, 49.5)",Working Professional,Unhealthy,MBBS,No,"[9.0, 12.012)",4,1.0,2.0,No
"[18.0, 28.5)",Working Professional,Healthy,BHM,No,"[0.0, 3.0)",4,3.0,4.0,No
"[28.5, 39.0)",Working Professional,Unhealthy,B.Ed,Yes,"[0.0, 3.0)",1,4.0,2.0,No
"[49.5, 60.042)",Working Professional,Healthy,MBA,No,"[9.0, 12.012)",2,1.0,1.0,No
"[28.5, 39.0)",Working Professional,Unhealthy,B.Arch,Yes,"[9.0, 12.012)",2,5.0,4.0,No
"[28.5, 39.0)",Student,Healthy,Class 12,No,"[9.0, 12.012)",3,4.0,5.0,No
"[49.5, 60.042)",Working Professional,Healthy,ME,No,"[3.0, 6.0)",2,2.0,5.0,No
"[18.0, 28.5)",Student,Moderate,MBBS,No,"[3.0, 6.0)",5,3.0,1.0,No
"[39.0, 49.5)",Working Professional,Healthy,LLM,Yes,"[3.0, 6.0)",3,3.0,4.0,No
"[18.0, 28.5)",Student,Unhealthy,Class 12,No,"[9.0, 12.012)",4,5.0,3.0,No
"[49.5, 60.042)",Working Professional,Healthy,B.Ed,No,"[9.0, 12.012)",3,5.0,3.0,No
"[49.5, 60.042)",Working Professional,Moderate,BCA,No,"[0.0, 3.0)",3,2.0,5.0,No
"[39.0, 49.5)",Working Professional,Healthy,BCA,No,"[0.0, 3.0)",5,2.0,2.0,No
"[28.5, 39.0)",Student,Healthy,LLB,No,"[9.0, 12.012)",3,3.0,1.0,No
"[39.0, 49.5)",Working Professional,Healthy,M.Tech,No,"[6.0, 9.0)",1,5.0,3.0,No
"[49.5, 60.042)",Working Professional,Moderate,MCA,No,"[9.0, 12.012)",3,1.0,1.0,No
"[18.0, 28.5)",Student,Unhealthy,BSc,Yes,"[0.0, 3.0)",1,5.0,1.0,No
"[49.5, 60.042)",Working Professional,Healthy,B.Ed,Yes,"[0.0, 3.0)",5,4.0,5.0,No
"[18.0, 28.5)",Working Professional,Moderate,Class 12,No,"[0.0, 3.0)",4,5.0,3.0,No
"[49.5, 60.042)",Working Professional,Moderate,Class 12,Yes,"[0.0, 3.0)",5,4.0,2.0,No
"[18.0, 28.5)",Student,Healthy,M.Tech,No,"[9.0, 12.012)",4,4.0,2.0,No
"[28.5, 39.0)",Working Professional,Unhealthy,BA,Yes,"[9.0, 12.012)",3,2.0,1.0,No
"[28.5, 39.0)",Student,Healthy,B.Tech,No,"[6.0, 9.0)",3,4.0,3.0,No
"[39.0, 49.5)",Working Professional,Healthy,BBA,Yes,"[9.0, 12.012)",3,3.0,4.0,No
"[18.0, 28.5)",Student,Healthy,PhD,No,"[6.0, 9.0)",1,4.0,5.0,No
"[49.5, 60.042)",Working Professional,Healthy,BHM,Yes,"[3.0, 6.0)",2,5.0,2.0,No
"[18.0, 28.5)",Working Professional,Unhealthy,BBA,No,"[6.0, 9.0)",5,5.0,3.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,M.Com,No,"[3.0, 6.0)",1,1.0,2.0,No
"[39.0, 49.5)",Working Professional,Unhealthy,M.Pharm,No,"[0.0, 3.0)",3,2.0,3.0,No
"[18.0, 28.5)",Working Professional,Moderate,BSc,No,"[9.0, 12.012)",3,5.0,4.0,No
"[18.0, 28.5)",Student,Healthy,BSc,Yes,"[9.0, 12.012)",3,5.0,2.0,No
"[28.5, 39.0)",Working Professional,Unhealthy,MHM,No,"[9.0, 12.012)",3,3.0,4.0,No
"[39.0, 49.5)",Working Professional,Unhealthy,M.Com,No,"[3.0, 6.0)",4,3.0,3.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,BHM,No,"[3.0, 6.0)",4,1.0,2.0,No
